"Year","Manager","Club"
2022,"Mikel Arteta","Arsenal"
2022,"Unai Emery","Aston Villa"
2022,"Aaron Danks","Aston Villa"
2022,"Steven Gerrard","Aston Villa"
2022,"Gary O'Neil","Bournemouth"
2022,"Scott Parker","Bournemouth"
2022,"Thomas Frank","Brentford"
2022,"Roberto De Zerbi","Brighton and Hove Albion"
2022,"Graham Potter","Chelsea"
2022,"Thomas Tuchel","Chelsea"
2022,"Patrick Vieira","Crystal Palace"
2022,"Frank Lampard","Everton"
2022,"Marco Silva","Fulham"
2022,"Jesse Marsch","Leeds United"
2022,"Brendan Rodgers","Leicester City"
2022,"Jürgen Klopp","Liverpool"
2022,"Pep Guardiola","Manchester City"
2022,"Erik ten Hag","Manchester United"
2022,"Eddie Howe","Newcastle United"
2022,"Steve Cooper","Nottingham Forest"
2022,"Nathan Jones","Southampton"
2022,"Ralph Hasenhüttl","Southampton"
2022,"Antonio Conte","Tottenham Hotspur"
2022,"David Moyes","West Ham United"
2022,"Steve Davis","Wolverhampton Wanderers"
2022,"Bruno Lage","Wolverhampton Wanderers"
2021,"Mikel Arteta","Arsenal"
2021,"Steven Gerrard","Aston Villa"
2021,"Thomas Frank","Brentford"
2021,"Graham Potter","Brighton and Hove Albion"
2021,"Michael Jackson","Burnley"
2021,"Sean Dyche","Burnley"
2021,"Thomas Tuchel","Chelsea"
2021,"Patrick Vieira","Crystal Palace"
2021,"Frank Lampard","Everton"
2021,"Duncan Ferguson","Everton"
2021,"Rafael Benítez","Everton"
2021,"Jesse Marsch","Leeds United"
2021,"Marcelo Bielsa","Leeds United"
2021,"Brendan Rodgers","Leicester City"
2021,"Jürgen Klopp","Liverpool"
2021,"Pep Guardiola","Manchester City"
2021,"Ralf Rangnick","Manchester United"
2021,"Michael Carrick","Manchester United"
2021,"Ole Gunnar Solskjær","Manchester United"
2021,"Eddie Howe","Newcastle United"
2021,"Graeme Jones","Newcastle United"
2021,"Steve Bruce","Newcastle United"
2021,"Dean Smith","Norwich City"
2021,"Daniel Farke","Norwich City"
2021,"Ralph Hasenhüttl","Southampton"
2021,"Antonio Conte","Tottenham Hotspur"
2021,"Nuno Espírito Santo","Tottenham Hotspur"
2021,"Roy Hodgson","Watford"
2021,"Claudio Ranieri","Watford"
2021,"Francisco Javier Muñoz Llompart","Watford"
2021,"David Moyes","West Ham United"
2021,"Bruno Lage","Wolverhampton Wanderers"
2020,"Mikel Arteta","Arsenal"
2020,"Dean Smith","Aston Villa"
2020,"Graham Potter","Brighton and Hove Albion"
2020,"Sean Dyche","Burnley"
2020,"Thomas Tuchel","Chelsea"
2020,"Frank Lampard","Chelsea"
2020,"Roy Hodgson","Crystal Palace"
2020,"Carlo Ancelotti","Everton"
2020,"Scott Parker","Fulham"
2020,"Marcelo Bielsa","Leeds United"
2020,"Brendan Rodgers","Leicester City"
2020,"Jürgen Klopp","Liverpool"
2020,"Pep Guardiola","Manchester City"
2020,"Ole Gunnar Solskjær","Manchester United"
2020,"Steve Bruce","Newcastle United"
2020,"Paul Heckingbottom","Sheffield United"
2020,"Chris Wilder","Sheffield United"
2020,"Ralph Hasenhüttl","Southampton"
2020,"Ryan Mason","Tottenham Hotspur"
2020,"José Mário dos Santos Mourinho Félix","Tottenham Hotspur"
2020,"Sam Allardyce","West Bromwich Albion"
2020,"Slaven Bilic","West Bromwich Albion"
2020,"David Moyes","West Ham United"
